iso3,country.name,un.code,UNCTAD.list,income_HC,dac.code,M49_1,M49_2
ABW,Aruba,533,Aruba,H_HHC,NA,Americas,Caribbean
AFG,Afghanistan,4,Afghanistan,L_LHC,625,Asia,Southern Asia
AGO,Angola,24,Angola,L_NHC,225,Africa,Middle Africa
ALB,Albania,8,Albania,L_HHC,71,Europe,Southern Europe
AND,Andorra,20,Andorra,H_NHC,NA,Europe,Southern Europe
ARE,United Arab Emirates,784,United Arab Emirates,H_NHC,576,Asia,Western Asia
ARG,Argentina,32,Argentina,L_LHC,425,Americas,South America
ARM,Armenia,51,Armenia,L_HHC,610,Asia,Western Asia
ASM,American Samoa,16,American Samoa,L_HHC,NA,Oceania,Polynesia
ATG,Antigua and Barbuda,28,Antigua and Barbuda,H_HHC,377,Americas,Caribbean
AUS,Australia,36,Australia,H_LHC,801,Oceania,Australia and New Zealand
AUT,Austria,40,Austria,H_NHC,1,Europe,Western Europe
AZE,Azerbaijan,31,Azerbaijan,L_HHC,611,Asia,Western Asia
AZE,Azerbaijan,31,Azerbaijan,L_HHC,611,Asia,Western Asia
BDI,Burundi,108,Burundi,L_LHC,228,Africa,Eastern Africa
BEL,Belgium,56,Belgium,H_NHC,2,Europe,Western Europe
BEN,Benin,204,Benin,L_LHC,236,Africa,Western Africa
BFA,Burkina Faso,854,Burkina Faso,L_NHC,287,Africa,Western Africa
BGD,Bangladesh,50,Bangladesh,L_LHC,666,Asia,Southern Asia
BGR,Bulgaria,100,Bulgaria,L_LHC,72,Europe,Eastern Europe
BHR,Bahrain,48,Bahrain,H_NHC,NA,Asia,Western Asia
BHS,Bahamas,44,Bahamas,H_HHC,NA,Americas,Caribbean
BIH,Bosnia and Herzegovina,70,Bosnia and Herzegovina,L_LHC,64,Europe,Southern Europe
BLR,Belarus,112,Belarus,L_NHC,86,Europe,Eastern Europe
BLZ,Belize,84,Belize,L_HHC,352,Americas,Central America
BMU,Bermuda,60,Bermuda,H_NHC,NA,Americas,Northern America
BOL,Bolivia (Plurinational State of),68,Bolivia (Plurinational State of),L_LHC,428,Americas,South America
BRA,Brazil,76,Brazil,L_LHC,431,Americas,South America
BRB,Barbados,52,Barbados,H_HHC,NA,Americas,Caribbean
BRN,Brunei Darussalam,96,Brunei Darussalam,H_HHC,NA,Asia,South-eastern Asia
BTN,Bhutan,64,Bhutan,L_HHC,630,Asia,Southern Asia
BWA,Botswana,72,Botswana,L_NHC,227,Africa,Southern Africa
CAF,Central African Republic,140,Central African Republic,L_NHC,231,Africa,Middle Africa
CAN,Canada,124,Canada,H_NHC,301,Americas,Northern America
CHE,"Switzerland, Liechtenstein",757,"Switzerland, Liechtenstein",H_NHC,11,Europe,Western Europe
CHL,Chile,152,Chile,H_HHC,NA,Americas,South America
CHN,China,156,China,L_LHC,730,Asia,Eastern Asia
CIV,C??te d'Ivoire,384,C?te d'Ivoire,L_LHC,247,Africa,Western Africa
CMR,Cameroon,120,Cameroon,L_LHC,229,Africa,Middle Africa
COD,Dem. Rep. of the Congo,180,Dem. Rep. of the Congo,L_LHC,235,Africa,Middle Africa
COG,Congo,178,Congo,L_NHC,234,Africa,Middle Africa
COL,Colombia,170,Colombia,L_LHC,437,Americas,South America
COM,Comoros,174,Comoros,L_HHC,233,Africa,Eastern Africa
CPV,Cabo Verde,132,Cabo Verde,L_HHC,230,Africa,Western Africa
CRI,Costa Rica,188,Costa Rica,L_HHC,336,Americas,Central America
CUB,Cuba,192,Cuba,L_HHC,338,Americas,Caribbean
CUW,Cura??ao,531,Cura?ao,H_HHC,NA,Americas,Caribbean
