Sender.ISO3,Receiver.ISO3,Weight
VEN,ABW,1
CUW,ABW,1
PAK,AFG,1
CHN,AFG,1
TJK,AFG,1
TKM,AFG,1
IRN,AFG,1
UZB,AFG,1
ZMB,AGO,1
NAM,AGO,1
COD,AGO,1
COG,AGO,1
ATG,AIA,1
VGB,AIA,1
BES,AIA,1
MAF,AIA,1
VIR,AIA,1
BLM,AIA,1
ITA,ALB,1
MNE,ALB,1
MKD,ALB,1
SRB,ALB,1
GRC,ALB,1
ESP,AND,1
FRA,AND,1
SAU,ARE,1
IRN,ARE,1
OMN,ARE,1
QAT,ARE,1
FLK,ARG,1
BOL,ARG,1
CHL,ARG,1
BRA,ARG,1
URY,ARG,1
PRY,ARG,1
TUR,ARM,1
GEO,ARM,1
AZE,ARM,1
IRN,ARM,1
WSM,ASM,1
TON,ASM,1
NIU,ASM,1
TKL,ASM,1
COK,ASM,1
HMD,ATF,1
MOZ,ATF,1
MDG,ATF,1
GLP,ATG,1
AIA,ATG,1
KNA,ATG,1
BLM,ATG,1
MSR,ATG,1
SLB,AUS,1
NCL,AUS,1
HMD,AUS,1
PNG,AUS,1
IDN,AUS,1
TLS,AUS,1
NZL,AUS,1
HUN,AUT,1
SVK,AUT,1
ITA,AUT,1
CHE,AUT,1
DEU,AUT,1
LIE,AUT,1
SVN,AUT,1
CZE,AUT,1
ARM,AZE,1
RUS,AZE,1
GEO,AZE,1
TUR,AZE,1
TKM,AZE,1
IRN,AZE,1
KAZ,AZE,1
TZA,BDI,1
COD,BDI,1
RWA,BDI,1
NLD,BEL,1
GBR,BEL,1
DEU,BEL,1
LUX,BEL,1
FRA,BEL,1
NGA,BEN,1
BFA,BEN,1
TGO,BEN,1
NER,BEN,1
MAF,BES,1
KNA,BES,1
VIR,BES,1
VEN,BES,1
BLM,BES,1
CUW,BES,1
SXM,BES,1
AIA,BES,1
GHA,BFA,1
CIV,BFA,1
BEN,BFA,1
TGO,BFA,1
MLI,BFA,1
NER,BFA,1
IND,BGD,1
MMR,BGD,1
ROU,BGR,1
SRB,BGR,1
TUR,BGR,1
GRC,BGR,1
MKD,BGR,1
QAT,BHR,1
IRN,BHR,1
SAU,BHR,1
CUB,BHS,1
HTI,BHS,1
USA,BHS,1
TCA,BHS,1
HRV,BIH,1
MNE,BIH,1
SRB,BIH,1
MAF,BLM,1
KNA,BLM,1
ATG,BLM,1
BES,BLM,1
AIA,BLM,1
SXM,BLM,1
LVA,BLR,1
UKR,BLR,1
LTU,BLR,1
POL,BLR,1
RUS,BLR,1
HND,BLZ,1
MEX,BLZ,1
GTM,BLZ,1
PER,BOL,1
BRA,BOL,1
CHL,BOL,1
PRY,BOL,1
ARG,BOL,1
URY,BRA,1
GUF,BRA,1
PER,BRA,1
