"Sender.HC","Receiver.HC","Weight","Year","n","sum.value","avg.value.pair","sum.value.cnst","avg.value.pair.cnst"
"HHC","HHC","adjacent",1988,5,612.15,122.43,748.81,149.762
"HHC","HHC","adjacent",1989,4,449.16,112.29,566.18,141.545
"HHC","HHC","adjacent",1990,5,752.1,150.42,949.67,189.934
"HHC","HHC","adjacent",1991,5,949.15,189.83,1219.19,243.838
"HHC","HHC","adjacent",1992,8,1512.05,189.00625,1717.75,214.71875
"HHC","HHC","adjacent",1993,8,932.95,116.61875,968.44,121.055
"HHC","HHC","adjacent",1994,8,671.92,83.99,620.23,77.52875
"HHC","HHC","adjacent",1995,7,461.88,65.9828571428571,385.51,55.0728571428571
"HHC","HHC","adjacent",1996,9,540.62,60.0688888888889,547.92,60.88
"HHC","HHC","adjacent",1997,8,413.54,51.6925,456.93,57.11625
"HHC","HHC","adjacent",1998,11,414.97,37.7245454545455,496.26,45.1145454545455
"HHC","HHC","adjacent",1999,10,564.2,56.42,619.18,61.918
"HHC","HHC","adjacent",2000,10,365.51,36.551,377.67,37.767
"HHC","HHC","adjacent",2001,13,381.77,29.3669230769231,454.79,34.9838461538462
"HHC","HHC","adjacent",2002,12,392.44,32.7033333333333,459.81,38.3175
"HHC","HHC","adjacent",2003,11,659.32,59.9381818181818,695.15,63.1954545454546
"HHC","HHC","adjacent",2004,12,363.45,30.2875,374.23,31.1858333333333
"HHC","HHC","adjacent",2005,9,377.86,41.9844444444444,376.3,41.8111111111111
"HHC","HHC","adjacent",2006,17,523.48,30.7929411764706,555.44,32.6729411764706
"HHC","HHC","adjacent",2007,18,456.88,25.3822222222222,458.7,25.4833333333333
"HHC","HHC","adjacent",2008,15,504.24,33.616,463.15,30.8766666666667
"HHC","HHC","adjacent",2009,17,383.78,22.5752941176471,350.56,20.6211764705882
"HHC","HHC","adjacent",2010,15,266.83,17.7886666666667,250.55,16.7033333333333
"HHC","HHC","adjacent",2011,15,197.2,13.1466666666667,173.3,11.5533333333333
"HHC","HHC","adjacent",2012,14,216.52,15.4657142857143,208.25,14.875
"HHC","HHC","adjacent",2013,15,138.56,9.23733333333333,126.75,8.45
"HHC","HHC","adjacent",2014,14,157.86,11.2757142857143,147.83,10.5592857142857
"HHC","HHC","adjacent",2015,16,213.61,13.350625,238.66,14.91625
"HHC","HHC","adjacent",2016,15,121.44,8.096,133.8,8.92
"HHC","HHC","adjacent",2017,16,155.56,9.7225,170.38,10.64875
"HHC","HHC","adjacent",2018,16,192.92,12.0575,201.11,12.569375
"HHC","HHC","adjacent",2019,17,664.45,39.0852941176471,677.01,39.8241176470588
"HHC","HHC","adjacent",2020,17,823.69,48.4523529411765,811.5,47.7352941176471
"HHC","HHC","adjacent",2021,18,922.78,51.2655555555556,922.78,51.2655555555556
"HHC","HHC","distant",1988,118,3152.6,26.7169491525424,4096.48,34.7159322033898
"HHC","HHC","distant",1989,133,3290.05,24.7372180451128,4429.26,33.3027067669173
"HHC","HHC","distant",1990,133,3573.37,26.8674436090226,4615.34,34.7018045112782
"HHC","HHC","distant",1991,140,3892.59,27.8042142857143,4587.99,32.7713571428571
"HHC","HHC","distant",1992,144,3971.56,27.5802777777778,4419.17,30.6886805555556
"HHC","HHC","distant",1993,157,3609.06,22.9876433121019,4057.78,25.8457324840764
"HHC","HHC","distant",1994,165,3613.9,21.9024242424242,3695.08,22.3944242424242
"HHC","HHC","distant",1995,174,4300.03,24.712816091954,3842.37,22.0825862068966
"HHC","HHC","distant",1996,182,3699.64,20.3276923076923,3597.31,19.7654395604396
"HHC","HHC","distant",1997,188,2843.33,15.1240957446809,3120.22,16.596914893617
"HHC","HHC","distant",1998,197,3840.63,19.4955837563452,4485.56,22.7693401015228
"HHC","HHC","distant",1999,203,5112.62,25.1853201970443,5194.18,25.5870935960591
"HHC","HHC","distant",2000,197,4677.64,23.7443654822335,4705.68,23.8867005076142
"HHC","HHC","distant",2001,212,3915.57,18.4696698113208,4805.32,22.6666037735849
"HHC","HHC","distant",2002,208,3113.09,14.9667788461538,3739.9,17.9802884615385
"HHC","HHC","distant",2003,206,3725.6,18.0854368932039,4036.85,19.596359223301
"HHC","HHC","distant",2004,235,2795.16,11.8942978723404,2898.28,12.3331063829787
"HHC","HHC","distant",2005,243,4345.48,17.882633744856,4463.57,18.3686008230453
"HHC","HHC","distant",2006,300,3424.33,11.4144333333333,3636.09,12.1203
"HHC","HHC","distant",2007,318,3846.77,12.0967610062893,3937.25,12.3812893081761
"HHC","HHC","distant",2008,326,4229.94,12.9752760736196,3914.78,12.008527607362
"HHC","HHC","distant",2009,305,5041.94,16.5309508196721,4499.46,14.7523278688525
"HHC","HHC","distant",2010,291,5180.14,17.8011683848797,4515.77,15.5181099656357
"HHC","HHC","distant",2011,292,3945.85,13.5131849315068,3204.06,10.9728082191781
"HHC","HHC","distant",2012,261,4284.92,16.4173180076628,3432.61,13.1517624521073
"HHC","HHC","distant",2013,269,6132.59,22.7977323420074,5677.68,21.1066171003717
"HHC","HHC","distant",2014,288,4188.1,14.5420138888889,4059.06,14.0939583333333
"HHC","HHC","distant",2015,264,3553.38,13.4597727272727,3872.37,14.6680681818182
"HHC","HHC","distant",2016,277,5647.05,20.3864620938628,6026.45,21.7561371841155
"HHC","HHC","distant",2017,286,3523.93,12.3214335664336,3677.31,12.8577272727273
"HHC","HHC","distant",2018,281,2811.19,10.0042348754448,2908.59,10.3508540925267
"HHC","HHC","distant",2019,309,2942.69,9.52326860841424,3021.83,9.77938511326861
"HHC","HHC","distant",2020,302,3397.77,11.2508940397351,3403.98,11.2714569536424
"HHC","HHC","distant",2021,259,3680.93,14.2120849420849,3680.93,14.2120849420849
"HHC","LHC","adjacent",1988,5,689.13,137.826,780.23,156.046
"HHC","LHC","adjacent",1989,5,887.96,177.592,1066.94,213.388
"HHC","LHC","adjacent",1990,5,835.49,167.098,1040.96,208.192
