"Sender.HCHL","Receiver.HCHL","Weight","Year","n","sum.value","avg.value.pair","sum.value.cnst","avg.value.pair.cnst"
"H_HHC","H_HHC","adjacent",1988,1,0.2,0.2,0.37,0.37
"H_HHC","H_HHC","adjacent",1990,1,0.88,0.88,1.32,1.32
"H_HHC","H_HHC","adjacent",1992,1,5.84,5.84,7.99,7.99
"H_HHC","H_HHC","adjacent",1993,1,26.88,26.88,45.18,45.18
"H_HHC","H_HHC","adjacent",1994,1,43.81,43.81,72.97,72.97
"H_HHC","H_HHC","adjacent",1995,1,8.92,8.92,14.3,14.3
"H_HHC","H_HHC","adjacent",1996,2,66.92,33.46,96.9,48.45
"H_HHC","H_HHC","adjacent",1997,2,23,11.5,35.69,17.845
"H_HHC","H_HHC","adjacent",1998,2,24.39,12.195,37.78,18.89
"H_HHC","H_HHC","adjacent",1999,2,24.09,12.045,38.52,19.26
"H_HHC","H_HHC","adjacent",2000,2,21.67,10.835,39.32,19.66
"H_HHC","H_HHC","adjacent",2001,2,0.1,0.05,0.17,0.085
"H_HHC","H_HHC","adjacent",2002,1,0.24,0.24,0.37,0.37
"H_HHC","H_HHC","adjacent",2003,2,0.53,0.265,0.66,0.33
"H_HHC","H_HHC","adjacent",2004,1,0.26,0.26,0.28,0.28
"H_HHC","H_HHC","distant",1988,4,4.6,1.15,5.19,1.2975
"H_HHC","H_HHC","distant",1989,7,4.3,0.614285714285714,6.05,0.864285714285714
"H_HHC","H_HHC","distant",1990,7,9.44,1.34857142857143,13.89,1.98428571428571
"H_HHC","H_HHC","distant",1991,9,7.99,0.887777777777778,9.39,1.04333333333333
"H_HHC","H_HHC","distant",1992,9,64.16,7.12888888888889,66.55,7.39444444444444
"H_HHC","H_HHC","distant",1993,8,20.85,2.60625,21.2,2.65
"H_HHC","H_HHC","distant",1994,9,27.11,3.01222222222222,23.14,2.57111111111111
"H_HHC","H_HHC","distant",1995,11,30.14,2.74,26.79,2.43545454545455
"H_HHC","H_HHC","distant",1996,12,50.25,4.1875,49.01,4.08416666666667
"H_HHC","H_HHC","distant",1997,13,63.59,4.89153846153846,66.56,5.12
"H_HHC","H_HHC","distant",1998,12,45.72,3.81,61.2,5.1
"H_HHC","H_HHC","distant",1999,13,42.86,3.29692307692308,54.19,4.16846153846154
"H_HHC","H_HHC","distant",2000,14,41.37,2.955,50.05,3.575
"H_HHC","H_HHC","distant",2001,12,29.3,2.44166666666667,36.48,3.04
"H_HHC","H_HHC","distant",2002,11,37.26,3.38727272727273,43.87,3.98818181818182
"H_HHC","H_HHC","distant",2003,13,30.15,2.31923076923077,33.16,2.55076923076923
"H_HHC","H_HHC","distant",2004,12,19,1.58333333333333,19.68,1.64
"H_HHC","H_HHC","distant",2005,7,21.44,3.06285714285714,21.65,3.09285714285714
"H_HHC","H_HHC","distant",2006,9,20.2,2.24444444444444,21.31,2.36777777777778
"H_HHC","H_HHC","distant",2007,8,19.63,2.45375,19.76,2.47
"H_HHC","H_HHC","distant",2008,8,25.08,3.135,23.21,2.90125
"H_HHC","H_HHC","distant",2009,9,46.95,5.21666666666667,40.47,4.49666666666667
"H_HHC","H_HHC","distant",2010,8,124.2,15.525,102.26,12.7825
"H_HHC","H_HHC","distant",2011,8,79.47,9.93375,60.34,7.5425
"H_HHC","H_HHC","distant",2012,7,23.45,3.35,18.05,2.57857142857143
"H_HHC","H_HHC","distant",2013,8,22.67,2.83375,21.35,2.66875
"H_HHC","H_HHC","distant",2014,6,7.91,1.31833333333333,7.87,1.31166666666667
"H_HHC","H_HHC","distant",2015,7,5.56,0.794285714285714,6.2,0.885714285714286
"H_HHC","H_HHC","distant",2016,7,15.88,2.26857142857143,15.87,2.26714285714286
"H_HHC","H_HHC","distant",2017,6,15.46,2.57666666666667,15.93,2.655
"H_HHC","H_HHC","distant",2018,6,17.6,2.93333333333333,17.87,2.97833333333333
"H_HHC","H_HHC","distant",2019,9,21.73,2.41444444444444,21.73,2.41444444444444
"H_HHC","H_HHC","distant",2020,8,44.45,5.55625,43.1,5.3875
"H_HHC","H_HHC","distant",2021,8,82.98,10.3725,82.98,10.3725
"H_HHC","H_LHC","adjacent",1988,1,12.56,12.56,14.18,14.18
"H_HHC","H_LHC","adjacent",1989,1,40.96,40.96,48.73,48.73
"H_HHC","H_LHC","adjacent",1990,1,50.37,50.37,61.48,61.48
"H_HHC","H_LHC","adjacent",1991,1,40.41,40.41,44.65,44.65
"H_HHC","H_LHC","adjacent",1992,1,17.62,17.62,18.05,18.05
"H_HHC","H_LHC","adjacent",1994,2,4.07,2.035,6.78,3.39
"H_HHC","H_LHC","adjacent",1995,2,64.23,32.115,48.88,24.44
"H_HHC","H_LHC","adjacent",1996,2,16.15,8.075,14.82,7.41
"H_HHC","H_LHC","adjacent",1998,1,35.4,35.4,37.45,37.45
"H_HHC","H_LHC","adjacent",2004,2,0.83,0.415,0.99,0.495
"H_HHC","H_LHC","adjacent",2011,1,0.28,0.28,0.26,0.26
"H_HHC","H_LHC","distant",1988,5,7.92,1.584,9.75,1.95
"H_HHC","H_LHC","distant",1989,8,7.48,0.935,11.08,1.385
"H_HHC","H_LHC","distant",1990,7,21.59,3.08428571428571,30.21,4.31571428571429
"H_HHC","H_LHC","distant",1991,4,10.74,2.685,13.1,3.275
"H_HHC","H_LHC","distant",1992,6,42.71,7.11833333333333,43.84,7.30666666666667
"H_HHC","H_LHC","distant",1993,5,16.58,3.316,14.97,2.994
"H_HHC","H_LHC","distant",1994,7,10.06,1.43714285714286,8.92,1.27428571428571
"H_HHC","H_LHC","distant",1995,9,11.62,1.29111111111111,9.43,1.04777777777778
"H_HHC","H_LHC","distant",1996,11,13.33,1.21181818181818,12.12,1.10181818181818
"H_HHC","H_LHC","distant",1997,9,2.26,0.251111111111111,2.65,0.294444444444444
"H_HHC","H_LHC","distant",1998,13,15.11,1.16230769230769,18.24,1.40307692307692
"H_HHC","H_LHC","distant",1999,15,18.15,1.21,19.26,1.284
"H_HHC","H_LHC","distant",2000,14,18.69,1.335,18.38,1.31285714285714
"H_HHC","H_LHC","distant",2001,16,12.46,0.77875,13.62,0.85125
"H_HHC","H_LHC","distant",2002,16,12.54,0.78375,14.64,0.915
"H_HHC","H_LHC","distant",2003,15,10.71,0.714,12.15,0.81
"H_HHC","H_LHC","distant",2004,15,4.07,0.271333333333333,4.44,0.296
"H_HHC","H_LHC","distant",2005,6,6.35,1.05833333333333,6.29,1.04833333333333
"H_HHC","H_LHC","distant",2006,5,6.24,1.248,6.53,1.306
"H_HHC","H_LHC","distant",2007,4,0.9,0.225,0.85,0.2125
"H_HHC","H_LHC","distant",2008,4,1.27,0.3175,1.13,0.2825
"H_HHC","H_LHC","distant",2009,3,1.12,0.373333333333333,1.01,0.336666666666667
"H_HHC","H_LHC","distant",2010,4,2.56,0.64,2.17,0.5425
"H_HHC","H_NHC","distant",1988,3,4.85,1.61666666666667,5.47,1.82333333333333
"H_HHC","H_NHC","distant",1989,3,4.08,1.36,4.86,1.62
"H_HHC","H_NHC","distant",1990,3,2.37,0.79,2.89,0.963333333333333
"H_HHC","H_NHC","distant",1991,5,7,1.4,8.28,1.656
"H_HHC","H_NHC","distant",1992,3,2.53,0.843333333333333,2.59,0.863333333333333
"H_HHC","H_NHC","distant",1993,3,2.33,0.776666666666667,2.08,0.693333333333333
"H_HHC","H_NHC","distant",1994,3,3.55,1.18333333333333,2.92,0.973333333333333
"H_HHC","H_NHC","distant",1995,3,3.64,1.21333333333333,2.77,0.923333333333333
"H_HHC","H_NHC","distant",1996,3,4.03,1.34333333333333,3.56,1.18666666666667
"H_HHC","H_NHC","distant",1997,3,0.08,0.0266666666666667,0.08,0.0266666666666667
"H_HHC","H_NHC","distant",1998,2,0.14,0.07,0.14,0.07
"H_HHC","H_NHC","distant",1999,3,0.27,0.09,0.25,0.0833333333333333
"H_HHC","H_NHC","distant",2000,3,0.26,0.0866666666666667,0.23,0.0766666666666667
"H_HHC","H_NHC","distant",2001,4,0.14,0.035,0.15,0.0375
"H_HHC","H_NHC","distant",2002,4,0.17,0.0425,0.18,0.045
"H_HHC","H_NHC","distant",2003,6,0.31,0.0516666666666667,0.32,0.0533333333333333
"H_HHC","H_NHC","distant",2004,6,0.69,0.115,0.73,0.121666666666667
"H_HHC","L_HHC","adjacent",1988,4,611.95,152.9875,748.44,187.11
"H_HHC","L_HHC","adjacent",1989,4,449.16,112.29,566.18,141.545
"H_HHC","L_HHC","adjacent",1990,4,751.22,187.805,948.35,237.0875
"H_HHC","L_HHC","adjacent",1991,4,948.85,237.2125,1218.8,304.7
"H_HHC","L_HHC","adjacent",1992,5,1489.38,297.876,1688.07,337.614
"H_HHC","L_HHC","adjacent",1993,5,900.46,180.092,916.39,183.278
