"Sender.HCHL","Weight","Year","n","sum.value","avg.value.pair","sum.value.cnst","avg.value.pair.cnst"
"H_HHC","adjacent",1988,10,1301.28,130.128,1529.04,152.904
"H_HHC","adjacent",1989,9,1337.12,148.568888888889,1633.12,181.457777777778
"H_HHC","adjacent",1990,10,1587.59,158.759,1990.63,199.063
"H_HHC","adjacent",1991,9,1628.83,180.981111111111,1990.6,221.177777777778
"H_HHC","adjacent",1992,11,2646.76,240.614545454545,2906.28,264.207272727273
"H_HHC","adjacent",1993,10,2334.2,233.42,2264.67,226.467
"H_HHC","adjacent",1994,12,2230.8,185.9,1969.51,164.125833333333
"H_HHC","adjacent",1995,11,1942.63,176.602727272727,1542.41,140.219090909091
"H_HHC","adjacent",1996,17,1448.16,85.1858823529412,1367.26,80.4270588235294
"H_HHC","adjacent",1997,15,1021.83,68.122,1071.27,71.418
"H_HHC","adjacent",1998,15,1618.79,107.919333333333,1778.37,118.558
"H_HHC","adjacent",1999,13,1791.07,137.774615384615,1764.54,135.733846153846
"H_HHC","adjacent",2000,13,1142.78,87.9061538461538,1082.81,83.2930769230769
"H_HHC","adjacent",2001,13,1067.23,82.0946153846154,1152.41,88.6469230769231
"H_HHC","adjacent",2002,15,1282.5,85.5,1439.29,95.9526666666667
"H_HHC","adjacent",2003,16,1443.8,90.2375,1489.36,93.085
"H_HHC","adjacent",2004,17,1340.68,78.8635294117647,1304.76,76.7505882352941
"H_HHC","adjacent",2005,14,1434.32,102.451428571429,1410.79,100.770714285714
"H_HHC","adjacent",2006,16,1059.39,66.211875,1114.63,69.664375
"H_HHC","adjacent",2007,19,880.43,46.3384210526316,909.77,47.8826315789474
"H_HHC","adjacent",2008,15,698.84,46.5893333333333,639.59,42.6393333333333
"H_HHC","adjacent",2009,18,536.2,29.7888888888889,481.01,26.7227777777778
"H_HHC","adjacent",2010,15,238.59,15.906,227.29,15.1526666666667
"H_HHC","adjacent",2011,15,160.1,10.6733333333333,142.36,9.49066666666667
"H_HHC","adjacent",2012,14,180.76,12.9114285714286,180.25,12.875
"H_HHC","adjacent",2013,13,67.35,5.18076923076923,64.65,4.97307692307692
"H_HHC","adjacent",2014,14,56.11,4.00785714285714,53.66,3.83285714285714
"H_HHC","adjacent",2015,14,157.17,11.2264285714286,177.34,12.6671428571429
"H_HHC","adjacent",2016,12,62.26,5.18833333333333,70.09,5.84083333333333
"H_HHC","adjacent",2017,12,149.45,12.4541666666667,163.48,13.6233333333333
"H_HHC","adjacent",2018,12,159.1,13.2583333333333,163.13,13.5941666666667
"H_HHC","adjacent",2019,12,606.43,50.5358333333333,612.09,51.0075
"H_HHC","adjacent",2020,12,806.05,67.1708333333333,789.82,65.8183333333333
"H_HHC","adjacent",2021,16,843.89,52.743125,843.89,52.743125
"H_HHC","distant",1988,261,6852.01,26.2529118773946,9360.39,35.8635632183908
"H_HHC","distant",1989,311,7029.11,22.6016398713826,9854.01,31.6849196141479
"H_HHC","distant",1990,310,7068.51,22.8016451612903,9371,30.2290322580645
"H_HHC","distant",1991,318,9005.07,28.3178301886792,10760.58,33.8383018867925
"H_HHC","distant",1992,326,8199.67,25.1523619631902,9447.2,28.9791411042945
"H_HHC","distant",1993,350,7376.14,21.0746857142857,8509.89,24.3139714285714
