"Receiver.HCHL","Weight","Year","n","sum.value","avg.value.pair","sum.value.cnst","avg.value.pair.cnst"
"H_HHC","adjacent",1988,1,0.2,0.2,0.37,0.37
"H_HHC","adjacent",1990,1,0.88,0.88,1.32,1.32
"H_HHC","adjacent",1992,1,5.84,5.84,7.99,7.99
"H_HHC","adjacent",1993,1,26.88,26.88,45.18,45.18
"H_HHC","adjacent",1994,1,43.81,43.81,72.97,72.97
"H_HHC","adjacent",1995,1,8.92,8.92,14.3,14.3
"H_HHC","adjacent",1996,2,66.92,33.46,96.9,48.45
"H_HHC","adjacent",1997,3,23.19,7.73,35.99,11.9966666666667
"H_HHC","adjacent",1998,4,26.45,6.6125,40.57,10.1425
"H_HHC","adjacent",1999,4,27.54,6.885,43.32,10.83
"H_HHC","adjacent",2000,4,24.06,6.015,42.79,10.6975
"H_HHC","adjacent",2001,4,1.04,0.26,1.83,0.4575
"H_HHC","adjacent",2002,3,8.69,2.89666666666667,13.76,4.58666666666667
"H_HHC","adjacent",2003,3,0.56,0.186666666666667,0.71,0.236666666666667
"H_HHC","adjacent",2004,3,9.53,3.17666666666667,10.31,3.43666666666667
"H_HHC","distant",1988,31,50.77,1.63774193548387,94.72,3.05548387096774
"H_HHC","distant",1989,34,47.15,1.38676470588235,87.35,2.56911764705882
"H_HHC","distant",1990,32,141.88,4.43375,257.54,8.048125
"H_HHC","distant",1991,41,154.98,3.78,266.6,6.50243902439024
"H_HHC","distant",1992,34,211.81,6.22970588235294,323.86,9.52529411764706
"H_HHC","distant",1993,37,100.96,2.72864864864865,156.53,4.23054054054054
"H_HHC","distant",1994,42,266.48,6.34476190476191,424.05,10.0964285714286
"H_HHC","distant",1995,42,189.81,4.51928571428571,286,6.80952380952381
"H_HHC","distant",1996,42,134.45,3.20119047619048,181.51,4.32166666666667
"H_HHC","distant",1997,40,105.1,2.6275,130.97,3.27425
"H_HHC","distant",1998,48,149.44,3.11333333333333,224.29,4.67270833333333
"H_HHC","distant",1999,47,71.67,1.52489361702128,100.16,2.13106382978723
"H_HHC","distant",2000,49,88.53,1.80673469387755,123.6,2.52244897959184
"H_HHC","distant",2001,53,90.63,1.71,133.52,2.51924528301887
"H_HHC","distant",2002,44,84.72,1.92545454545455,117.21,2.66386363636364
"H_HHC","distant",2003,51,70.68,1.38588235294118,91.89,1.80176470588235
"H_HHC","distant",2004,48,69.32,1.44416666666667,89.69,1.86854166666667
"H_HHC","distant",2005,30,49.06,1.63533333333333,58.75,1.95833333333333
"H_HHC","distant",2006,28,70.05,2.50178571428571,86.63,3.09392857142857
"H_HHC","distant",2007,32,49.21,1.5378125,56.15,1.7546875
"H_HHC","distant",2008,34,70.41,2.07088235294118,78.95,2.32205882352941
"H_HHC","distant",2009,29,96.45,3.32586206896552,101.73,3.50793103448276
"H_HHC","distant",2010,32,156.29,4.8840625,140.64,4.395
"H_HHC","distant",2011,38,126.18,3.32052631578947,112.3,2.95526315789474
"H_HHC","distant",2012,38,57.84,1.52210526315789,55.03,1.44815789473684
"H_HHC","distant",2013,37,58.46,1.58,60.84,1.64432432432432
"H_HHC","distant",2014,29,32.9,1.13448275862069,35.2,1.21379310344828
"H_HHC","distant",2015,32,27.34,0.854375,30.73,0.9603125
"H_HHC","distant",2016,34,29.6,0.870588235294118,31.44,0.924705882352941
"H_HHC","distant",2017,41,43.62,1.06390243902439,47.18,1.15073170731707
"H_HHC","distant",2018,32,105.9,3.309375,113.09,3.5340625
"H_HHC","distant",2019,36,86.72,2.40888888888889,92.96,2.58222222222222
"H_HHC","distant",2020,39,69.1,1.77179487179487,69.61,1.78487179487179
