"Sender.HC","Weight","Year","n","sum.value","avg.value.pair","sum.value.cnst","avg.value.pair.cnst"
"HHC","adjacent",1988,10,1301.28,130.128,1529.04,152.904
"HHC","adjacent",1989,9,1337.12,148.568888888889,1633.12,181.457777777778
"HHC","adjacent",1990,10,1587.59,158.759,1990.63,199.063
"HHC","adjacent",1991,10,1629.13,162.913,1990.99,199.099
"HHC","adjacent",1992,14,2663.72,190.265714285714,2928.14,209.152857142857
"HHC","adjacent",1993,15,2340.37,156.024666666667,2272.23,151.482
"HHC","adjacent",1994,16,2233.46,139.59125,1973.79,123.361875
"HHC","adjacent",1995,16,1977.1,123.56875,1587.78,99.23625
"HHC","adjacent",1996,17,1448.16,85.1858823529412,1367.26,80.4270588235294
"HHC","adjacent",1997,15,1021.83,68.122,1071.27,71.418
"HHC","adjacent",1998,22,1630.61,74.1186363636364,1794,81.5454545454545
"HHC","adjacent",1999,17,1798.02,105.765882352941,1774.12,104.36
"HHC","adjacent",2000,19,1150.24,60.5389473684211,1093.07,57.53
"HHC","adjacent",2001,21,1073.03,51.0966666666667,1162.67,55.3652380952381
"HHC","adjacent",2002,23,1297.86,56.4286956521739,1463.63,63.6360869565217
"HHC","adjacent",2003,22,1453.47,66.0668181818182,1501.69,68.2586363636364
"HHC","adjacent",2004,25,1422.27,56.8908,1392.91,55.7164
"HHC","adjacent",2005,21,1499.97,71.4271428571429,1472.87,70.1366666666667
"HHC","adjacent",2006,30,1208.96,40.2986666666667,1268.37,42.279
"HHC","adjacent",2007,33,1041.6,31.5636363636364,1051.92,31.8763636363636
"HHC","adjacent",2008,29,955.66,32.9537931034483,865.09,29.8306896551724
"HHC","adjacent",2009,32,683.86,21.370625,606.34,18.948125
"HHC","adjacent",2010,28,363.55,12.9839285714286,325.9,11.6392857142857
"HHC","adjacent",2011,28,428.74,15.3121428571429,348.79,12.4567857142857
"HHC","adjacent",2012,27,1288.27,47.7137037037037,1005.52,37.2414814814815
"HHC","adjacent",2013,26,1831.11,70.4273076923077,1382.27,53.1642307692308
"HHC","adjacent",2014,27,2504.89,92.7737037037037,2009.06,74.4096296296296
"HHC","adjacent",2015,28,2926.66,104.523571428571,2720.39,97.1567857142857
"HHC","adjacent",2016,26,5995.09,230.580384615385,5648.57,217.252692307692
"HHC","adjacent",2017,26,7481.34,287.743846153846,7654.24,294.393846153846
"HHC","adjacent",2018,25,6924.22,276.9688,8024.28,320.9712
"HHC","adjacent",2019,27,7933.07,293.817407407407,9392.96,347.887407407407
"HHC","adjacent",2020,28,7989.64,285.344285714286,10040.72,358.597142857143
"HHC","adjacent",2021,30,7680.33,256.011,7680.33,256.011
"HHC","distant",1988,261,6852.01,26.2529118773946,9360.39,35.8635632183908
"HHC","distant",1989,311,7029.11,22.6016398713826,9854.01,31.6849196141479
"HHC","distant",1990,310,7068.51,22.8016451612903,9371,30.2290322580645
"HHC","distant",1991,319,9012.87,28.2535109717868,10770.6,33.7636363636364
"HHC","distant",1992,338,8251.29,24.412100591716,9513.72,28.147100591716
"HHC","distant",1993,387,7409.07,19.1448837209302,8550.19,22.0935142118863
"HHC","distant",1994,392,8765.13,22.3600255102041,9323.82,23.7852551020408
"HHC","distant",1995,417,8481.22,20.3386570743405,7624.66,18.2845563549161
"HHC","distant",1996,442,7750.15,17.5342760180995,7777.4,17.59592760181
"HHC","distant",1997,449,5962.02,13.2784409799555,6636.73,14.781135857461
"HHC","distant",1998,487,7601.42,15.6086652977413,8890.47,18.2555852156057
"HHC","distant",1999,502,8965.49,17.8595418326693,9360.61,18.6466334661355
"HHC","distant",2000,496,8324.55,16.7833669354839,8642.6,17.4245967741935
"HHC","distant",2001,523,6951.86,13.292275334608,8417.51,16.0946653919694
"HHC","distant",2002,532,6482.69,12.185507518797,8155.05,15.3290413533835
"HHC","distant",2003,528,7144.78,13.5317803030303,7974.41,15.1030492424242
"HHC","distant",2004,580,6863.69,11.8339482758621,7242.89,12.4877413793103
"HHC","distant",2005,594,12782.68,21.5196632996633,13223.88,22.2624242424242
"HHC","distant",2006,696,10306.72,14.8085057471264,10999.16,15.8033908045977
"HHC","distant",2007,731,8989.03,12.2968946648427,9175.01,12.5513132694938
"HHC","distant",2008,754,11512.47,15.2685278514589,10615.3,14.0786472148541
"HHC","distant",2009,720,9863.52,13.6993333333333,8778.58,12.1924722222222
"HHC","distant",2010,694,11156.47,16.0756051873199,9660.2,13.9195965417867
"HHC","distant",2011,699,10809.93,15.4648497854077,8739.84,12.503347639485
