"Receiver.HC","Weight","Year","n","sum.value","avg.value.pair","sum.value.cnst","avg.value.pair.cnst"
"HHC","adjacent",1988,8,739.31,92.41375,1031.1,128.8875
"HHC","adjacent",1989,7,561.99,80.2842857142857,804.33,114.904285714286
"HHC","adjacent",1990,9,864.64,96.0711111111111,1177.74,130.86
"HHC","adjacent",1991,9,1057.37,117.485555555556,1432.95,159.216666666667
"HHC","adjacent",1992,12,1611.07,134.255833333333,1925.23,160.435833333333
"HHC","adjacent",1993,12,1048.25,87.3541666666667,1220.75,101.729166666667
"HHC","adjacent",1994,12,778.68,64.89,842.59,70.2158333333333
"HHC","adjacent",1995,11,587.59,53.4172727272727,632.74,57.5218181818182
"HHC","adjacent",1996,13,673.57,51.8130769230769,782.61,60.2007692307692
"HHC","adjacent",1997,14,515.28,36.8057142857143,648.67,46.3335714285714
"HHC","adjacent",1998,16,517.25,32.328125,714.34,44.64625
"HHC","adjacent",1999,16,730.41,45.650625,974.8,60.925
"HHC","adjacent",2000,17,559.46,32.9094117647059,811.2,47.7176470588235
"HHC","adjacent",2001,19,543.55,28.6078947368421,818.32,43.0694736842105
"HHC","adjacent",2002,18,609.49,33.8605555555556,891.51,49.5283333333333
"HHC","adjacent",2003,17,911.39,53.6111764705882,1144.85,67.3441176470588
"HHC","adjacent",2004,19,660.37,34.7563157894737,844.89,44.4678947368421
"HHC","adjacent",2005,15,881.84,58.7893333333333,1112.97,74.198
"HHC","adjacent",2006,23,1123.83,48.8621739130435,1402.03,60.9578260869565
"HHC","adjacent",2007,25,1176.8,47.072,1360.1,54.404
"HHC","adjacent",2008,22,1208.53,54.9331818181818,1307.85,59.4477272727273
"HHC","adjacent",2009,24,1108.83,46.20125,1257.36,52.39
"HHC","adjacent",2010,22,1226.73,55.7604545454545,1270.82,57.7645454545454
"HHC","adjacent",2011,21,1410.75,67.1785714285714,1358.09,64.6709523809524
"HHC","adjacent",2012,20,1405.14,70.257,1313.85,65.6925
"HHC","adjacent",2013,21,1254.7,59.747619047619,1209.57,57.5985714285714
"HHC","adjacent",2014,21,1100.3,52.3952380952381,1109.22,52.82
"HHC","adjacent",2015,23,1050.74,45.684347826087,1211.9,52.6913043478261
"HHC","adjacent",2016,24,705.97,29.4154166666667,813.21,33.88375
"HHC","adjacent",2017,25,785.67,31.4268,864.66,34.5864
"HHC","adjacent",2018,25,906.34,36.2536,982.07,39.2828
"HHC","adjacent",2019,25,1224.98,48.9992,1303.33,52.1332
"HHC","adjacent",2020,26,1400.62,53.87,1451.1,55.8115384615385
"HHC","adjacent",2021,27,1713.47,63.4618518518519,1713.47,63.4618518518519
"HHC","distant",1988,723,8337.53,11.5318533886584,13999.9,19.3636237897649
"HHC","distant",1989,743,8292.6,11.1609690444145,13985.2,18.8226110363392
"HHC","distant",1990,768,10741.8,13.98671875,16626.26,21.6487760416667
"HHC","distant",1991,826,10714.3,12.9713075060533,15823.02,19.1561985472155
"HHC","distant",1992,851,10046.19,11.8051586368978,13979.42,16.4270505287897
"HHC","distant",1993,921,9772.17,10.6103908794788,14201.76,15.4199348534202
"HHC","distant",1994,963,10225.84,10.618733125649,14256.95,14.8047248182762
"HHC","distant",1995,984,10152.16,10.3172357723577,12412.37,12.6141971544715
"HHC","distant",1996,957,9419.02,9.84223615464995,11778.42,12.3076489028213
"HHC","distant",1997,1012,7835.51,7.74259881422925,10892.07,10.7629150197628
"HHC","distant",1998,1040,8795.58,8.45728846153846,12369.37,11.893625
"HHC","distant",1999,1036,10336.45,9.97726833976834,13565.47,13.094083011583
"HHC","distant",2000,1051,9771.6,9.29743101807802,13351.24,12.7033682207422
"HHC","distant",2001,1082,9570.4,8.84510166358595,14474.65,13.3776802218115
"HHC","distant",2002,1086,9388.73,8.6452394106814,13844.62,12.7482688766114
"HHC","distant",2003,1095,11226.43,10.2524474885845,14723.46,13.4460821917808
"HHC","distant",2004,1141,11312.62,9.91465381244522,13980.46,12.2528133216477
"HHC","distant",2005,1135,13648.13,12.0247841409692,16258.97,14.3250837004405
"HHC","distant",2006,1208,12932.95,10.7060844370861,15175.53,12.5625248344371
"HHC","distant",2007,1241,14428.27,11.6263255439162,15708.36,12.6578243352135
"HHC","distant",2008,1270,18142.14,14.2851496062992,19035.81,14.9888267716535
"HHC","distant",2009,1254,17608.01,14.0414752791069,18757.84,14.9584051036683
"HHC","distant",2010,1286,19501.87,15.1647511664075,20451.94,15.9035303265941
"HHC","distant",2011,1320,18539.06,14.0447424242424,18397.52,13.9375151515152
"HHC","distant",2012,1277,17705.47,13.8648942834769,17707.32,13.8663429913861
