"Sender.income","Receiver.income","Weight","Year","n","sum.value","avg.value.pair","sum.value.cnst","avg.value.pair.cnst"
"H","H","adjacent",1988,2,12.76,6.38,14.55,7.275
"H","H","adjacent",1989,3,42.48,14.16,51.41,17.1366666666667
"H","H","adjacent",1990,4,52.77,13.1925,65.22,16.305
"H","H","adjacent",1991,3,41.93,13.9766666666667,46.99,15.6633333333333
"H","H","adjacent",1992,4,24.98,6.245,28.25,7.0625
"H","H","adjacent",1993,4,33.51,8.3775,55.08,13.77
"H","H","adjacent",1994,6,60.31,10.0516666666667,98.34,16.39
"H","H","adjacent",1995,6,87.16,14.5266666666667,81.56,13.5933333333333
"H","H","adjacent",1996,7,89.95,12.85,121.1,17.3
"H","H","adjacent",1997,6,27.92,4.65333333333333,43.19,7.19833333333333
"H","H","adjacent",1998,7,65.25,9.32142857142857,83.67,11.9528571428571
"H","H","adjacent",1999,6,28.8,4.8,45.95,7.65833333333333
"H","H","adjacent",2000,6,26.42,4.40333333333333,47.47,7.91166666666667
"H","H","adjacent",2001,6,5.69,0.948333333333333,9.81,1.635
"H","H","adjacent",2002,5,7.04,1.408,11.68,2.336
"H","H","adjacent",2003,8,9.22,1.1525,12.84,1.605
"H","H","adjacent",2004,9,5.95,0.661111111111111,7.51,0.834444444444444
"H","H","adjacent",2005,1,0.43,0.43,0.52,0.52
"H","H","adjacent",2006,2,0.49,0.245,0.57,0.285
"H","H","adjacent",2007,2,0.43,0.215,0.45,0.225
"H","H","adjacent",2008,2,4.51,2.255,4.38,2.19
"H","H","adjacent",2009,2,4.25,2.125,4.17,2.085
"H","H","adjacent",2010,2,3.81,1.905,3.95,1.975
"H","H","adjacent",2011,1,0.28,0.28,0.26,0.26
"H","H","distant",1988,77,1341.19,17.418051948052,2668.9,34.661038961039
"H","H","distant",1989,89,1303.29,14.6437078651685,2514.02,28.2474157303371
"H","H","distant",1990,91,1586.14,17.4301098901099,2909.24,31.9696703296703
"H","H","distant",1991,100,1952.17,19.5217,3386.83,33.8683
"H","H","distant",1992,87,2367.49,27.2125287356322,4029.5,46.316091954023
"H","H","distant",1993,85,1430.13,16.8250588235294,2420.55,28.4770588235294
"H","H","distant",1994,97,1656.3,17.0752577319588,2737.65,28.2231958762887
"H","H","distant",1995,114,667.72,5.85719298245614,1018.17,8.93131578947368
"H","H","distant",1996,116,2656.57,22.9014655172414,4190.85,36.1280172413793
"H","H","distant",1997,107,1438.87,13.4473831775701,2255.99,21.0840186915888
"H","H","distant",1998,132,1451.78,10.9983333333333,2269.99,17.1968939393939
"H","H","distant",1999,126,1185.77,9.41087301587302,1826.25,14.4940476190476
