"Sender.income","Weight","Year","n","sum.value","avg.value.pair","sum.value.cnst","avg.value.pair.cnst"
"H","adjacent",1988,15,1669.32,111.288,2375.11,158.340666666667
"H","adjacent",1989,18,1705.54,94.7522222222222,2418.52,134.362222222222
"H","adjacent",1990,20,1999.83,99.9915,2821.53,141.0765
"H","adjacent",1991,19,2011.23,105.854210526316,2755.5,145.026315789474
"H","adjacent",1992,20,2991.09,149.5545,3636.91,181.8455
"H","adjacent",1993,20,2678.66,133.933,3035.14,151.757
"H","adjacent",1994,22,2587.48,117.612727272727,2706.77,123.035
"H","adjacent",1995,20,2326.86,116.343,2294.91,114.7455
"H","adjacent",1996,27,1872.31,69.3448148148148,2112.52,78.2414814814815
"H","adjacent",1997,30,1374.1,45.8033333333333,1737.34,57.9113333333333
"H","adjacent",1998,29,2003.51,69.0865517241379,2624.54,90.5013793103448
"H","adjacent",1999,29,2152.77,74.2334482758621,2526.97,87.1368965517241
"H","adjacent",2000,27,1559.46,57.7577777777778,2021.14,74.857037037037
"H","adjacent",2001,28,1428.62,51.0221428571429,1986.83,70.9582142857143
"H","adjacent",2002,32,1739.59,54.3621875,2392.49,74.7653125
"H","adjacent",2003,37,1964.36,53.0908108108108,2429.94,65.6740540540541
"H","adjacent",2004,39,1940.75,49.7628205128205,2256.09,57.8484615384615
"H","adjacent",2005,34,2240.33,65.8920588235294,2589.32,76.1564705882353
"H","adjacent",2006,36,1949.83,54.1619444444444,2376.66,66.0183333333333
"H","adjacent",2007,39,1955.31,50.1361538461538,2252.39,57.7535897435897
"H","adjacent",2008,37,1824.39,49.3078378378378,1973.2,53.3297297297297
"H","adjacent",2009,39,1627.46,41.7297435897436,1840.47,47.1915384615385
"H","adjacent",2010,36,1664.29,46.2302777777778,1726.95,47.9708333333333
"H","adjacent",2011,32,1964.65,61.3953125,1848.89,57.7778125
"H","adjacent",2012,31,1946.81,62.8003225806452,1803.52,58.178064516129
"H","adjacent",2013,31,1766.41,56.9809677419355,1695.33,54.688064516129
"H","adjacent",2014,32,1526.66,47.708125,1538.49,48.0778125
"H","adjacent",2015,32,1545.78,48.305625,1798.28,56.19625
"H","adjacent",2016,30,1213.19,40.4396666666667,1413.3,47.11
"H","adjacent",2017,35,1400.9,40.0257142857143,1544.69,44.134
"H","adjacent",2018,34,1497.34,44.0394117647059,1627.83,47.8773529411765
"H","adjacent",2019,34,1788.4,52.6,1939.63,57.0479411764706
"H","adjacent",2020,35,2010.92,57.4548571428571,2127.86,60.796
"H","adjacent",2021,40,2521.22,63.0305,2521.22,63.0305
"H","distant",1988,1630,23775.4,14.5861349693252,41652.94,25.5539509202454
"H","distant",1989,1697,24430.33,14.3961873895109,42949.84,25.3092751915144
"H","distant",1990,1780,32788.87,18.4207134831461,52446.41,29.4642752808989
"H","distant",1991,1913,34670.44,18.1235964453738,53076.32,27.7450705697857
"H","distant",1992,1977,32195.26,16.2849064238746,46887.45,23.716464339909
"H","distant",1993,2090,28024.13,13.4086746411483,41921.98,20.0583636363636
"H","distant",1994,2209,30357.24,13.7425260298778,43356.15,19.6270484382073
"H","distant",1995,2272,29025.29,12.7752156690141,36858.32,16.2228521126761
"H","distant",1996,2297,29480.36,12.8342882020026,39125.03,17.0330996952547
"H","distant",1997,2393,24561.98,10.2640952778939,35382.98,14.7860342666109
"H","distant",1998,2481,25660.12,10.3426521563886,37203.02,14.9951713018944
"H","distant",1999,2488,27802.66,11.1747025723473,39191.74,15.752307073955
"H","distant",2000,2506,26020.85,10.383419792498,38272.77,15.2724541101357
"H","distant",2001,2589,25876.9,9.99494013132484,40343.67,15.5827230590962
"H","distant",2002,2666,30777.04,11.5442760690173,46753.75,17.5370405101275
"H","distant",2003,2693,39104.64,14.5208466394356,52976.1,19.6717786854809
"H","distant",2004,2775,39658.48,14.2913441441441,49757.48,17.9306234234234
"H","distant",2005,2714,65433.01,24.109436256448,79656.12,29.3500810611643
"H","distant",2006,2770,59065.9,21.3234296028881,69894.91,25.2328194945848
"H","distant",2007,2833,54629.37,19.2832227320861,60502.78,21.3564348746911
"H","distant",2008,2863,61321.23,21.4185225288159,65149.21,22.7555745721271
"H","distant",2009,2854,55996.02,19.6201892081289,61411.51,21.5176979677645
"H","distant",2010,2875,59138.14,20.569787826087,63726.76,22.1658295652174
"H","distant",2011,2933,62626.94,21.3525196045005,64158.97,21.8748619161268
"H","distant",2012,2841,57673.2,20.3003167898627,59638.64,20.992129531855
"H","distant",2013,2833,66137.61,23.3454324038122,68225.51,24.0824249911754
"H","distant",2014,2798,62601.01,22.3734846318799,64657.4,23.1084345961401
"H","distant",2015,2782,58657.72,21.0847304097771,66356.92,23.8522358015816
"H","distant",2016,2799,63763.61,22.7808538763844,72084.91,25.7538085030368
"H","distant",2017,2865,66004.82,23.0383315881326,73403.89,25.6209040139616
"H","distant",2018,2841,67141.91,23.6331960577262,71948.79,25.3251636747624
"H","distant",2019,2937,62889.93,21.4129826353422,68230.86,23.2314811031665
"H","distant",2020,2968,68698.68,23.1464555256065,72472.23,24.4178672506739
"H","distant",2021,3090,72704.31,23.5289029126214,72704.31,23.5289029126214
"L","adjacent",1991,1,0.3,0.3,0.39,0.39
"L","adjacent",1992,3,16.96,5.65333333333333,21.86,7.28666666666667
"L","adjacent",1993,5,6.17,1.234,7.56,1.512
"L","adjacent",1994,4,2.66,0.665,4.28,1.07
"L","adjacent",1995,5,34.47,6.894,45.37,9.074
"L","adjacent",1998,7,11.82,1.68857142857143,15.63,2.23285714285714
"L","adjacent",1999,4,6.95,1.7375,9.58,2.395
"L","adjacent",2000,6,7.46,1.24333333333333,10.26,1.71
"L","adjacent",2001,8,5.8,0.725,10.26,1.2825
"L","adjacent",2002,8,15.36,1.92,24.34,3.0425
"L","adjacent",2003,6,9.67,1.61166666666667,12.33,2.055
"L","adjacent",2004,8,81.59,10.19875,88.15,11.01875
"L","adjacent",2005,7,65.65,9.37857142857143,62.08,8.86857142857143
"L","adjacent",2006,14,149.57,10.6835714285714,153.74,10.9814285714286
"L","adjacent",2007,14,161.17,11.5121428571429,142.15,10.1535714285714
"L","adjacent",2008,16,257.91,16.119375,226.64,14.165
