"Receiver.income","Weight","Year","n","sum.value","avg.value.pair","sum.value.cnst","avg.value.pair.cnst"
"H","adjacent",1988,2,12.76,6.38,14.55,7.275
"H","adjacent",1989,3,42.48,14.16,51.41,17.1366666666667
"H","adjacent",1990,4,52.77,13.1925,65.22,16.305
"H","adjacent",1991,3,41.93,13.9766666666667,46.99,15.6633333333333
"H","adjacent",1992,4,24.98,6.245,28.25,7.0625
"H","adjacent",1993,4,33.51,8.3775,55.08,13.77
"H","adjacent",1994,6,60.31,10.0516666666667,98.34,16.39
"H","adjacent",1995,6,87.16,14.5266666666667,81.56,13.5933333333333
"H","adjacent",1996,7,89.95,12.85,121.1,17.3
"H","adjacent",1997,6,27.92,4.65333333333333,43.19,7.19833333333333
"H","adjacent",1998,8,67.09,8.38625,86.1,10.7625
"H","adjacent",1999,7,32.12,4.58857142857143,50.53,7.21857142857143
"H","adjacent",2000,7,28.08,4.01142857142857,49.75,7.10714285714286
"H","adjacent",2001,7,6.59,0.941428571428571,11.4,1.62857142857143
"H","adjacent",2002,6,15.46,2.57666666666667,25.02,4.17
"H","adjacent",2003,8,9.22,1.1525,12.84,1.605
"H","adjacent",2004,10,15.19,1.519,17.49,1.749
"H","adjacent",2005,1,0.43,0.43,0.52,0.52
"H","adjacent",2006,2,0.49,0.245,0.57,0.285
"H","adjacent",2007,2,0.43,0.215,0.45,0.225
"H","adjacent",2008,2,4.51,2.255,4.38,2.19
"H","adjacent",2009,2,4.25,2.125,4.17,2.085
"H","adjacent",2010,2,3.81,1.905,3.95,1.975
"H","adjacent",2011,1,0.28,0.28,0.26,0.26
"H","distant",1988,77,1341.19,17.418051948052,2668.9,34.661038961039
"H","distant",1989,89,1303.29,14.6437078651685,2514.02,28.2474157303371
"H","distant",1990,91,1586.14,17.4301098901099,2909.24,31.9696703296703
"H","distant",1991,100,1952.17,19.5217,3386.83,33.8683
"H","distant",1992,88,2367.5,26.9034090909091,4029.51,45.7898863636364
"H","distant",1993,86,1430.15,16.6296511627907,2420.57,28.1461627906977
"H","distant",1994,97,1656.3,17.0752577319588,2737.65,28.2231958762887
"H","distant",1995,115,667.88,5.80765217391304,1018.38,8.85547826086957
"H","distant",1996,116,2656.57,22.9014655172414,4190.85,36.1280172413793
"H","distant",1997,107,1438.87,13.4473831775701,2255.99,21.0840186915888
"H","distant",1998,133,1451.79,10.9157142857143,2270,17.0676691729323
"H","distant",1999,127,1185.8,9.33700787401575,1826.29,14.3802362204724
"H","distant",2000,131,1079.16,8.23786259541985,1644.43,12.5529007633588
"H","distant",2001,145,423.89,2.92337931034483,656.72,4.52910344827586
"H","distant",2002,148,1035.09,6.99385135135135,1526.67,10.3153378378378
"H","distant",2003,147,689.86,4.69292517006803,975.17,6.63380952380952
"H","distant",2004,156,754.17,4.83442307692308,1025.88,6.57615384615385
"H","distant",2005,62,140.01,2.25822580645161,167.98,2.70935483870968
"H","distant",2006,61,165.56,2.71409836065574,199.68,3.27344262295082
"H","distant",2007,63,131.4,2.08571428571429,144.05,2.28650793650794
"H","distant",2008,57,125.31,2.19842105263158,135.59,2.37877192982456
"H","distant",2009,52,132.16,2.54153846153846,139.44,2.68153846153846
"H","distant",2010,52,197.53,3.79865384615385,183.98,3.53807692307692
"H","distant",2011,38,126.18,3.32052631578947,112.3,2.95526315789474
"H","distant",2012,38,57.84,1.52210526315789,55.03,1.44815789473684
"H","distant",2013,37,58.46,1.58,60.84,1.64432432432432
"H","distant",2014,29,32.9,1.13448275862069,35.2,1.21379310344828
"H","distant",2015,32,27.34,0.854375,30.73,0.9603125
"H","distant",2016,34,29.6,0.870588235294118,31.44,0.924705882352941
"H","distant",2017,41,43.62,1.06390243902439,47.18,1.15073170731707
"H","distant",2018,32,105.9,3.309375,113.09,3.5340625
"H","distant",2019,36,86.72,2.40888888888889,92.96,2.58222222222222
"H","distant",2020,39,69.1,1.77179487179487,69.61,1.78487179487179
"H","distant",2021,33,134.74,4.0830303030303,134.74,4.0830303030303
"L","adjacent",1988,13,1656.56,127.427692307692,2360.56,181.581538461538
"L","adjacent",1989,15,1663.06,110.870666666667,2367.11,157.807333333333
"L","adjacent",1990,16,1947.06,121.69125,2756.31,172.269375
"L","adjacent",1991,17,1969.6,115.858823529412,2708.9,159.347058823529
"L","adjacent",1992,19,2983.07,157.003684210526,3630.52,191.08
"L","adjacent",1993,21,2651.32,126.253333333333,2987.62,142.267619047619
"L","adjacent",1994,20,2529.83,126.4915,2612.71,130.6355
"L","adjacent",1995,19,2274.17,119.693157894737,2258.72,118.88
"L","adjacent",1996,20,1782.36,89.118,1991.42,99.571
