"TIME","Sender.ISO3","Receiver.ISO3","DONOR","RECIPIENT","Distance","Weight","ID","transactions"
2003,"ARE","AFG",576,625,"distant",1720.64,1,27
2020,"ARE","AGO",576,225,"distant",0.13,2,7
2021,"ARE","ALB",576,71,"distant",84.28,3,25
2001,"ARE","ARG",576,425,"distant",12.86,4,18
2010,"ARE","ARM",576,610,"distant",7.13,5,9
2014,"ARE","ATG",576,377,"distant",14.55,6,9
2003,"ARE","AZE",576,611,"distant",10.37,7,10
1998,"ARE","BDI",576,228,"distant",2.84,8,10
2005,"ARE","BEN",576,236,"distant",9.42,9,18
2009,"ARE","BFA",576,287,"distant",33.1,10,21
2006,"ARE","BGD",576,666,"distant",71.79,11,17
2001,"ARE","BIH",576,64,"distant",557.19,12,30
2015,"ARE","BLR",576,86,"distant",9.11,13,6
2010,"ARE","BLZ",576,352,"distant",3.45,14,7
2019,"ARE","BOL",576,428,"distant",0.25,15,11
2021,"ARE","BRA",576,431,"distant",3.33,16,12
2020,"ARE","BTN",576,630,"distant",0.09,17,4
2016,"ARE","BWA",576,227,"distant",0.93,18,4
2008,"ARE","CAF",576,231,"distant",3.52,19,17
2008,"ARE","CHN",576,730,"distant",64.16,20,21
2014,"ARE","CIV",576,247,"distant",3.58,21,12
2012,"ARE","CMR",576,229,"distant",5.68,22,19
2020,"ARE","COD",576,235,"distant",6.71,23,19
2016,"ARE","COG",576,234,"distant",6.58,24,15
2021,"ARE","COL",576,437,"distant",35.66,25,13
2009,"ARE","COM",576,233,"distant",112.93,26,23
2021,"ARE","CPV",576,230,"distant",0.09,27,4
2015,"ARE","CRI",576,336,"distant",15,28,10
2018,"ARE","CUB",576,338,"distant",18.31,29,11
2020,"ARE","DJI",576,274,"distant",64.93,30,23
2018,"ARE","DMA",576,378,"distant",4.01,31,5
2013,"ARE","DOM",576,340,"distant",2.39,32,7
1999,"ARE","DZA",576,130,"distant",581.34,33,16
2013,"ARE","ECU",576,440,"distant",1.17,34,11
1998,"ARE","EGY",576,142,"distant",16366.45,35,32
2019,"ARE","ERI",576,271,"distant",358.23,36,25
2011,"ARE","ETH",576,238,"distant",116.6,37,27
2012,"ARE","FJI",576,832,"distant",4.75,38,7
